name,type,dno,ss_voltages,proposed_voltage,connection_status,total_demand_number,total_demand_capacity_mw,total_generation_number,total_generation_capacity_mw
Berkswell,gsp,NGED,['132'],132,budget,5,257.9,7,345.9
Sandy Lane,primary,NGED,"['6.6', '33']",6.6,budget,1,1.972,0,0
University Of Warwick,primary,NGED,"['11', '33']",11,budget,1,1.17,0,0
Coventry West,bsp,NGED,['33'],33,budget,0,0,2,60
Jaguar Cars Browns Lane,primary,NGED,"['11', '33']",11,budget,1,2.8,0,0
Harbury,bsp,NGED,['33'],33,budget,0,0,1,30
Gaydon,primary,NGED,"['11', '33']",11,budget,2,22.5,0,0
Harbury,primary,NGED,['11'],11,budget,1,1,1,1
Banbury Road,primary,NGED,"['11', '33']",11,budget,2,2.125,0,0
Clifton,primary,NGED,"['11', '33']",11,budget,1,9.428,0,0
Bicker Fen,gsp,NGED,['132'],132,budget,1,50,14,909.3
Grantham,bsp,NGED,['33'],33,budget,0,0,2,60
New Beacon Road Grantham,primary,NGED,"['11', '33']",11,budget,1,4,0,0
Skegness,bsp,NGED,['33'],33,budget,1,30,3,90
Alford,primary,NGED,"['11', '33']",11,budget,1,2,0,0
Sleaford,bsp,NGED,['33'],33,budget,0,0,8,214.9
Chesterfield,gsp,NGED,['132'],132,budget,1,49.9,9,435.8
Alfreton,bsp,NGED,['33'],33,budget,0,0,6,155
Blackwell,primary,NGED,"['11', '33']",11,budget,1,2,0,0
Annesley,bsp,NGED,['33'],33,budget,3,50,7,160
Annesley (Kirkby),primary,NGED,['11'],11,budget,1,1,0,0
Sherwood Park,primary,NGED,"['11', '33']",11,budget,3,15,0,0
Chesterfield,bsp,NGED,['33'],33,budget,1,21,8,186.02
Clipstone,bsp,NGED,['33'],33,budget,1,30,5,140
Goitside,bsp,NGED,['33'],33,budget,0,0,6,135
Mansfield,bsp,NGED,['33'],33,budget,1,20,1,20
Pinxton,primary,NGED,['11'],11,budget,2,2.25,0,0
Staveley,bsp,NGED,['33'],33,budget,1,30,2,60
Staveley,primary,NGED,['11'],11,budget,1,1.3,0,0
Whitwell,bsp,NGED,['33'],33,budget,0,0,3,75
Westhorpe,primary,NGED,"['11', '33']",11,budget,0,0,1,5
Coventry,gsp,NGED,['132'],132,budget,1,80,10,459.8
Walsgrave,primary,NGED,"['11', '33']",11,budget,1,5,0,0
Daventry,bsp,NGED,['33'],33,budget,0,0,2,50
Crick,primary,NGED,"['11', '33']",11,budget,2,6,0,0
Hinckley,bsp,NGED,['33'],33,budget,1,10,3,60
Hinckley,primary,NGED,['11'],11,budget,1,2.5,0,0
Sapcote,primary,NGED,"['11', '33']",11,budget,1,1.28,0,0
Wood Lane,primary,NGED,"['11', '33']",11,budget,2,21.7,0,0
Nuneaton,bsp,NGED,['33'],33,budget,0,0,1,30
Langdale Drive,primary,NGED,"['11', '33']",11,budget,2,9.995,0,0
Pailton,bsp,NGED,['33'],33,budget,0,0,3,70
Lawford,primary,NGED,"['11', '33']",11,budget,1,1.25,0,0
Coventry South,primary,NGED,['11'],11,budget,2,4.5,0,0
London Road,primary,NGED,"['6.6', '33']",6.6,budget,1,1.4,0,0
Drakelow,gsp,NGED,['132'],132,budget,2,113,3,163
Burton,primary,NGED,['11'],11,budget,1,1.3,0,0
Burton,bsp,NGED,['33'],33,budget,0,0,1,16
Hatton,primary,NGED,"['11', '33']",11,budget,0,0,1,5
Trent Alloys,primary,NGED,"['11', '33']",11,budget,1,1.25,0,0
Barton Under Needwood,primary,NGED,"['11', '33']",11,budget,1,1.7,0,0
Gresley,bsp,NGED,['33'],33,budget,1,17,2,45
Ashby,primary,NGED,"['11', '33']",11,budget,1,1.22,0,0
Gresley,primary,NGED,['11'],11,budget,0,0,1,5
East Claydon,gsp,NGED,['132'],132,budget,2,119.9,7,369.9
Victoria Road,primary,NGED,"['11', '33']",11,budget,1,2,0,0
Brackley,bsp,NGED,['132'],132,budget,2,60,1,30
