Licence,Grid Supply Point,Bulk Supply Point,Primary Substation,Proposed Connection Voltage (kV),Connection Status,Total Demand Number,Total Demand Capacity (MW),Total Generation Number,Total Generation Capacity (MW)
EMIDS,Berkswell 132 kV S Stn,-,-,132,Budget Estimates Provided,5,257.9,7,345.9
EMIDS,Berkswell 132 kV S Stn,Coventry Central 33 kV S Stn,Sandy Lane 33 6 6 kV S Stn,6.6,Budget Estimates Provided,1,1.972,0,0
EMIDS,Berkswell 132 kV S Stn,Coventry South 33 kV S Stn,University Of Warwick 33 11 kV S Stn,11,Budget Estimates Provided,1,1.17,0,0
EMIDS,Berkswell 132 kV S Stn,Coventry West 33 kV S Stn,-,33,Budget Estimates Provided,0,0,2,60
EMIDS,Berkswell 132 kV S Stn,Coventry West 33 kV S Stn,Jaguar Cars Browns Lane 33 11 kV S Stn,11,Budget Estimates Provided,1,2.8,0,0
EMIDS,Berkswell 132 kV S Stn,Harbury 33 kV S Stn,-,33,Budget Estimates Provided,0,0,1,30
EMIDS,Berkswell 132 kV S Stn,Harbury 33 kV S Stn,Gaydon 33 11 kV S Stn,11,Budget Estimates Provided,2,22.5,0,0
EMIDS,Berkswell 132 kV S Stn,Harbury 33 kV S Stn,Harbury 11 kV S Stn,11,Budget Estimates Provided,1,1,1,1
EMIDS,Berkswell 132 kV S Stn,Warwick 33 kV S Stn,Banbury Road 33 11 kV S Stn,11,Budget Estimates Provided,2,2.125,0,0
EMIDS,Berkswell 132 kV S Stn,Warwick 33 kV S Stn,Clifton 33 11 kV S Stn,11,Budget Estimates Provided,1,9.428,0,0
EMIDS,Bicker Fen 132 kV S Stn,-,-,132,Budget Estimates Provided,1,50,14,909.3
EMIDS,Bicker Fen 132 kV S Stn,Grantham 33 kV S Stn,-,33,Budget Estimates Provided,0,0,2,60
EMIDS,Bicker Fen 132 kV S Stn,Grantham 33 kV S Stn,New Beacon Road Grantham 33 11 kV S Stn,11,Budget Estimates Provided,1,4,0,0
EMIDS,Bicker Fen 132 kV S Stn,Skegness 33 kV S Stn,-,33,Budget Estimates Provided,1,30,3,90
EMIDS,Bicker Fen 132 kV S Stn,Skegness 33 kV S Stn,Alford 33 11 kV S Stn,11,Budget Estimates Provided,1,2,0,0
EMIDS,Bicker Fen 132 kV S Stn,Sleaford 33 kV S Stn,-,33,Budget Estimates Provided,0,0,8,214.9
EMIDS,Chesterfield 132 kV S Stn,-,-,132,Budget Estimates Provided,1,49.9,9,435.8
EMIDS,Chesterfield 132 kV S Stn,Alfreton 33 kV S Stn,-,33,Budget Estimates Provided,0,0,6,155
EMIDS,Chesterfield 132 kV S Stn,Alfreton 33 kV S Stn,Blackwell 33 11 kV S Stn,11,Budget Estimates Provided,1,2,0,0
EMIDS,Chesterfield 132 kV S Stn,Annesley 33 kV S Stn,-,33,Budget Estimates Provided,3,50,7,160
EMIDS,Chesterfield 132 kV S Stn,Annesley 33 kV S Stn,Annesley (Kirkby) 11 kV S Stn,11,Budget Estimates Provided,1,1,0,0
